"Código";"Linha";"Montadora";"Peça";"Aplicação"
"BR-4003A";"Borracha";"Agrale";"Interno ø 30,0 mm";"Interno ø 30,0 mm"
"BR-4003B";"Borracha";"Agrale";"interno ø 32,0 mm";"interno ø 32,0 mm"
"BR-4003C";"Borracha";"Agrale";"Interno ø 35,0 mm Caminhões";"Interno ø 35,0 mm Caminhões Agrale: 6000 D - 6000 DCD 7000 DX - 7500 TDX - 8500 Turbo Micro Volare: A6 2001/"
"BR-4014";"Borracha";"Agrale";"Bucha do olho da mola dianteira, traseira e jumelo";"Bucha do olho da mola dianteira, traseira e jumelo Veículos: Micro Volare A5 - A8 - V5 - V8"
"BR-9014A";"Borracha";"Chevrolet";"Borracha do jumelo (algema) traseira Blazer";"Borracha do jumelo (algema) traseira Blazer"
"BR-9017";"Borracha";"Chevrolet";"Pastilha do feixe mola traseiro (trava oval) S 10 - Blazer - Silverado";"Pastilha do feixe mola traseiro (trava oval) S 10 - Blazer - Silverado"
"BR-9025A";"Borracha";"Chevrolet";"Bucha do olho de mola traseira parte traseira Blazer";"Bucha do olho de mola traseira parte traseira Blazer"
"BR-9036";"Borracha";"Chevrolet";"Borracha calço da carroceria D20 - D10 42";"Borracha calço da carroceria D20 - D10 42"
"BR-9037";"Borracha";"Chevrolet";"Borracha batente traseiro da mola (adaptação) D20";"Borracha batente traseiro da mola (adaptação) D20"
"BR-9038";"Borracha";"Chevrolet";"Borracha do amortecedor dianteiro superior S10 - 2012 em diante";"Borracha do amortecedor dianteiro superior S10 - 2012 em diante"
"BR-9039";"Borracha";"Chevrolet";"Pastilha anti ruido do feixe de mola traseiro Pino 13,0mm D-20 Moderna";"Pastilha anti ruido do feixe de mola traseiro Pino 13,0mm D-20 Moderna"
"BR-9040";"Borracha";"Chevrolet";"Kit de Borrachas da Mola Traseira e Calço Anti-ruído da Mola Traseira S-10 até 2011";"Kit de Borrachas da Mola Traseira e Calço Anti-ruído da Mola Traseira S-10 até 2011"
"BR-0403A";"Borracha";"Fiat Ducato";"Borracha da bandeja dianteira parte traseira";"Borracha da bandeja dianteira parte traseira Ducato"
"BR-0414";"Borracha";"Fiat Ducato";"Borracha do amortecedor dianteiro superior Interno ø 16,0mm Renault Master";"Borracha do amortecedor dianteiro superior Interno ø 16,0mm Renault Master"
"BR-0415";"Borracha";"Fiat Ducato";"Borracha do amortecedor dianteiro inferior Interno ø 14,0mm Renault Master";"Borracha do amortecedor dianteiro inferior Interno ø 14,0mm Renault Master"
"BR-0416";"Borracha";"Fiat Ducato";"Borracha da bandeja dianteira Renault Master";"Borracha da bandeja dianteira Renault Master"
"BR-0419";"Borracha";"Fiat Ducato";"Borracha do olho da mola traseira parte traseira Renault Master 2013 em diante";"Borracha do olho da mola traseira parte traseira Renault Master 2013 em diante"
"BR-0420";"Borracha";"Fiat Ducato";"Borracha do olho da mola tra - seira parte dianteira Renault Master 2013 em diante 49";"Borracha do olho da mola tra - seira parte dianteira Renault Master 2013 em diante 49"
"BR-3005A";"Borracha";"Ford";"Borracha do olhal do amortecedor dianteiro com tubo Diâmetro do corpo ø 31,0mm Diâmetro da aba ø 34,0mm Comprimento 32,0mm Interno ø 14,0mm F 100 - F 350 - F 1000 - F";"Borracha do olhal do amortecedor dianteiro com tubo Diâmetro do corpo ø 31,0mm Diâmetro da aba ø 34,0mm Comprimento 32,0mm Interno ø 14,0mm F 100 - F 350 - F 1000 - F"
"BR-3028A";"Borracha";"Ford";"Borracha da Bieleta Dianteira Ranger de 1999 a";"Borracha da Bieleta Dianteira Ranger de 1999 a"
"BR-3037A";"Borracha";"Ford";"Borracha da mola traseira parte dianteira (Lonada) Pampa";"Borracha da mola traseira parte dianteira (Lonada) Pampa"
"BR-3053";"Borracha";"Ford";"Bucha do jumelo da mola traseira parte traseira Diâmetro do Corpo ø 28,5mm Comprimento 79,0mm interno ø 14,2mm";"Bucha do jumelo da mola traseira parte traseira Diâmetro do Corpo ø 28,5mm Comprimento 79,0mm interno ø 14,2mm Ford Ranger 1994 a"
"BR-3057";"Borracha";"Ford";"Borracha barra estabilizadora dianteira Interno ø 36,0 mm";"Borracha barra estabilizadora dianteira Interno ø 36,0 mm Ford Cargo"
"BR-3059";"Borracha";"Ford";"Borracha mola traseira parte dianteira Diâmetro da aba ø 65,0mm Diâmetro do corpo ø 55,0mm Interno ø 14,5 mm Comprimento 72,0mm Ranger Moderna 2012 Em Diante";"Borracha mola traseira parte dianteira Diâmetro da aba ø 65,0mm Diâmetro do corpo ø 55,0mm Interno ø 14,5 mm Comprimento 72,0mm Ranger Moderna 2012 Em Diante"
"BR-3061";"Borracha";"Ford";"Borracha da mola traseira parte traseira Diâmetro da aba ø 42,0mm Diâmetro do corpo ø ø 32,0mm Interno ø 18,0mm Comprimento 36,0mm Ranger Moderna 2013 em diante";"Borracha da mola traseira parte traseira Diâmetro da aba ø 42,0mm Diâmetro do corpo ø ø 32,0mm Interno ø 18,0mm Comprimento 36,0mm Ranger Moderna 2013 em diante"
"BR-3062";"Borracha";"Ford";"Calço anti ruido mola traseira Ranger 2012 em diante";"Calço anti ruido mola traseira Ranger 2012 em diante"
"BR-3064";"Borracha";"Ford";"Kit calço da carroceria Ranger de 1998 a 2011";"Kit calço da carroceria Ranger de 1998 a 2011"
"BR-3065";"Borracha";"Ford";"Borracha da mola traseira parte traseira Diâmetro da aba ø 51,0 mm Diâmetro do corpo ø 42,0 mm Interno ø 14,0 mm Comprimento 78,0 mm Ranger Americana 1994 a";"Borracha da mola traseira parte traseira Diâmetro da aba ø 51,0 mm Diâmetro do corpo ø 42,0 mm Interno ø 14,0 mm Comprimento 78,0 mm Ranger Americana 1994 a"
"BR-3066";"Borracha";"Ford";"Borracha da mola traseira parte dianteira Diâmetro da aba ø 41,0 mm Diâmetro do corpo ø 32,0 mm Interno ø 14,0 mm Comprimento 78,0 mm Ranger Americana 1994 a 1997 24";"Borracha da mola traseira parte dianteira Diâmetro da aba ø 41,0 mm Diâmetro do corpo ø 32,0 mm Interno ø 14,0 mm Comprimento 78,0 mm Ranger Americana 1994 a 1997 24"
